GL class,Ledger Type,Ledger Name,Ledger Code,Ledger Description,Ledger Currency,Branch,Related Parent Ledger,Mapped Product Code,Mapped Product Name
Equity,Parent,Huge251,EQUU52,This is a parent under a parent Vault Cash 251,TBT,S012,,,
Equity,Parent,Huge252,EQUU53,This is a parent under a parent Vault Cash 252,TBT,S012,,,
Equity,Parent,Huge253,EQUU54,This is a parent under a parent Vault Cash 253,TBT,S012,,,
Equity,Parent,Huge254,EQUU55,This is a parent under a parent Vault Cash 254,TBT,S012,,,
Equity,Parent,Huge255,EQUU56,This is a parent under a parent Vault Cash 255,TBT,S012,,,
Equity,Parent,Huge256,EQUU57,This is a parent under a parent Vault Cash 256,TBT,S012,,,
Equity,Parent,Huge257,EQUU58,This is a parent under a parent Vault Cash 257,TBT,S012,,,
Equity,Parent,Huge258,EQUU59,This is a parent under a parent Vault Cash 258,TBT,S012,,,
Equity,Parent,Huge259,EQUU60,This is a parent under a parent Vault Cash 259,TBT,S012,,,
Equity,Parent,Huge260,EQUU61,This is a parent under a parent Vault Cash 260,TBT,S012,,,
Equity,Parent,Huge261,EQUU62,This is a parent under a parent Vault Cash 261,TBT,S012,,,
Equity,Parent,Huge262,EQUU63,This is a parent under a parent Vault Cash 262,TBT,S012,,,
Equity,Parent,Huge263,EQUU64,This is a parent under a parent Vault Cash 263,TBT,S012,,,
Equity,Parent,Huge264,EQUU65,This is a parent under a parent Vault Cash 264,TBT,S012,,,
Equity,Parent,Huge265,EQUU66,This is a parent under a parent Vault Cash 265,TBT,S012,,,
Equity,Parent,Huge266,EQUU67,This is a parent under a parent Vault Cash 266,TBT,S012,,,
Equity,Parent,Huge267,EQUU68,This is a parent under a parent Vault Cash 267,TBT,S012,,,
Equity,Parent,Huge268,EQUU69,This is a parent under a parent Vault Cash 268,TBT,S012,,,
Equity,Parent,Huge269,EQUU70,This is a parent under a parent Vault Cash 269,TBT,S012,,,
Equity,Parent,Huge270,EQUU71,This is a parent under a parent Vault Cash 270,TBT,S012,,,
Equity,Parent,Huge271,EQUU72,This is a parent under a parent Vault Cash 271,TBT,S012,,,
Equity,Parent,Huge272,EQUU73,This is a parent under a parent Vault Cash 272,TBT,S012,,,
Equity,Parent,Huge273,EQUU74,This is a parent under a parent Vault Cash 273,TBT,S012,,,
Equity,Parent,Huge274,EQUU75,This is a parent under a parent Vault Cash 274,TBT,S012,,,
Equity,Parent,Huge275,EQUU76,This is a parent under a parent Vault Cash 275,TBT,S012,,,
Equity,Parent,Huge276,EQUU77,This is a parent under a parent Vault Cash 276,TBT,S012,,,
Equity,Parent,Huge277,EQUU78,This is a parent under a parent Vault Cash 277,TBT,S012,,,
Equity,Parent,Huge278,EQUU79,This is a parent under a parent Vault Cash 278,TBT,S012,,,
Equity,Parent,Huge279,EQUU80,This is a parent under a parent Vault Cash 279,TBT,S012,,,
Equity,Parent,Huge280,EQUU81,This is a parent under a parent Vault Cash 280,TBT,S012,,,
Equity,Parent,Huge281,EQUU82,This is a parent under a parent Vault Cash 281,TBT,S012,,,
Equity,Parent,Huge282,EQUU83,This is a parent under a parent Vault Cash 282,TBT,S012,,,
Equity,Parent,Huge283,EQUU84,This is a parent under a parent Vault Cash 283,TBT,S012,,,
Equity,Parent,Huge284,EQUU85,This is a parent under a parent Vault Cash 284,TBT,S012,,,
Equity,Parent,Huge285,EQUU86,This is a parent under a parent Vault Cash 285,TBT,S012,,,
Equity,Parent,Huge286,EQUU87,This is a parent under a parent Vault Cash 286,TBT,S012,,,
Equity,Parent,Huge287,EQUU88,This is a parent under a parent Vault Cash 287,TBT,S012,,,
Equity,Parent,Huge288,EQUU89,This is a parent under a parent Vault Cash 288,TBT,S012,,,
Equity,Parent,Huge289,EQUU90,This is a parent under a parent Vault Cash 289,TBT,S012,,,
Equity,Parent,Huge290,EQUU91,This is a parent under a parent Vault Cash 290,TBT,S012,,,
Equity,Parent,Huge291,EQUU92,This is a parent under a parent Vault Cash 291,TBT,S012,,,
Equity,Parent,Huge292,EQUU93,This is a parent under a parent Vault Cash 292,TBT,S012,,,
Equity,Parent,Huge293,EQUU94,This is a parent under a parent Vault Cash 293,TBT,S012,,,
Equity,Parent,Huge294,EQUU95,This is a parent under a parent Vault Cash 294,TBT,S012,,,
Equity,Parent,Huge295,EQUU96,This is a parent under a parent Vault Cash 295,TBT,S012,,,
Equity,Parent,Huge296,EQUU97,This is a parent under a parent Vault Cash 296,TBT,S012,,,
Equity,Parent,Huge297,EQUU98,This is a parent under a parent Vault Cash 297,TBT,S012,,,
Equity,Parent,Huge298,EQUU99,This is a parent under a parent Vault Cash 298,TBT,S012,,,
Equity,Parent,Huge398,EQUW01,This is a parent under a parent Vault Cash 398,TBT,S012,,,
Equity,Parent,Huge399,EQUW02,This is a parent under a parent Vault Cash 399,TBT,S012,,,
Equity,Parent,Huge400,EQUW03,This is a parent under a parent Vault Cash 400,TBT,S012,,,
Equity,Parent,Huge401,EQUW04,This is a parent under a parent Vault Cash 401,TBT,S012,,,
Equity,Parent,Huge402,EQUW05,This is a parent under a parent Vault Cash 402,TBT,S012,,,
Equity,Parent,Huge403,EQUW06,This is a parent under a parent Vault Cash 403,TBT,S012,,,
Equity,Parent,Huge404,EQUW07,This is a parent under a parent Vault Cash 404,TBT,S012,,,
Equity,Parent,Huge405,EQUW08,This is a parent under a parent Vault Cash 405,TBT,S012,,,
Equity,Parent,Huge406,EQUW09,This is a parent under a parent Vault Cash 406,TBT,S012,,,
Equity,Parent,Huge407,EQUW10,This is a parent under a parent Vault Cash 407,TBT,S012,,,
Equity,Parent,Huge408,EQUW11,This is a parent under a parent Vault Cash 408,TBT,S012,,,
Equity,Parent,Huge409,EQUW12,This is a parent under a parent Vault Cash 409,TBT,S012,,,
Equity,Parent,Huge410,EQUW13,This is a parent under a parent Vault Cash 410,TBT,S012,,,
Equity,Parent,Huge411,EQUW14,This is a parent under a parent Vault Cash 411,TBT,S012,,,
Equity,Parent,Huge412,EQUW15,This is a parent under a parent Vault Cash 412,TBT,S012,,,
Equity,Parent,Huge413,EQUW16,This is a parent under a parent Vault Cash 413,TBT,S012,,,
Equity,Parent,Huge414,EQUW17,This is a parent under a parent Vault Cash 414,TBT,S012,,,
Equity,Parent,Huge415,EQUW18,This is a parent under a parent Vault Cash 415,TBT,S012,,,
Equity,Parent,Huge416,EQUW19,This is a parent under a parent Vault Cash 416,TBT,S012,,,
Equity,Parent,Huge417,EQUW20,This is a parent under a parent Vault Cash 417,TBT,S012,,,
Equity,Parent,Huge418,EQUW21,This is a parent under a parent Vault Cash 418,TBT,S012,,,
Equity,Parent,Huge419,EQUW22,This is a parent under a parent Vault Cash 419,TBT,S012,,,
Equity,Parent,Huge420,EQUW23,This is a parent under a parent Vault Cash 420,TBT,S012,,,
Equity,Parent,Huge421,EQUW24,This is a parent under a parent Vault Cash 421,TBT,S012,,,
Equity,Parent,Huge422,EQUW25,This is a parent under a parent Vault Cash 422,TBT,S012,,,
Equity,Parent,Huge423,EQUW26,This is a parent under a parent Vault Cash 423,TBT,S012,,,
Equity,Parent,Huge424,EQUW27,This is a parent under a parent Vault Cash 424,TBT,S012,,,
Equity,Parent,Huge425,EQUW28,This is a parent under a parent Vault Cash 425,TBT,S012,,,
Equity,Parent,Huge426,EQUW29,This is a parent under a parent Vault Cash 426,TBT,S012,,,
Equity,Parent,Huge427,EQUW30,This is a parent under a parent Vault Cash 427,TBT,S012,,,
Equity,Parent,Huge428,EQUW31,This is a parent under a parent Vault Cash 428,TBT,S012,,,
Equity,Parent,Huge429,EQUW32,This is a parent under a parent Vault Cash 429,TBT,S012,,,
Equity,Parent,Huge430,EQUW33,This is a parent under a parent Vault Cash 430,TBT,S012,,,
Equity,Parent,Huge431,EQUW34,This is a parent under a parent Vault Cash 431,TBT,S012,,,
Equity,Parent,Huge432,EQUW35,This is a parent under a parent Vault Cash 432,TBT,S012,,,
Equity,Parent,Huge433,EQUW36,This is a parent under a parent Vault Cash 433,TBT,S012,,,
Equity,Parent,Huge434,EQUW37,This is a parent under a parent Vault Cash 434,TBT,S012,,,
Equity,Parent,Huge435,EQUW38,This is a parent under a parent Vault Cash 435,TBT,S012,,,
Equity,Parent,Huge436,EQUW39,This is a parent under a parent Vault Cash 436,TBT,S012,,,
Equity,Parent,Huge437,EQUW40,This is a parent under a parent Vault Cash 437,TBT,S012,,,
Equity,Parent,Huge438,EQUW41,This is a parent under a parent Vault Cash 438,TBT,S012,,,
Equity,Parent,Huge439,EQUW42,This is a parent under a parent Vault Cash 439,TBT,S012,,,
Equity,Parent,Huge440,EQUW43,This is a parent under a parent Vault Cash 440,TBT,S012,,,
Equity,Parent,Huge441,EQUW44,This is a parent under a parent Vault Cash 441,TBT,S012,,,
Equity,Parent,Huge442,EQUW45,This is a parent under a parent Vault Cash 442,TBT,S012,,,
Equity,Parent,Huge443,EQUW46,This is a parent under a parent Vault Cash 443,TBT,S012,,,
Equity,Parent,Huge444,EQUW47,This is a parent under a parent Vault Cash 444,TBT,S012,,,
Equity,Parent,Huge445,EQUW48,This is a parent under a parent Vault Cash 445,TBT,S012,,,
Equity,Parent,Huge446,EQUW49,This is a parent under a parent Vault Cash 446,TBT,S012,,,
Equity,Parent,Huge447,EQUW50,This is a parent under a parent Vault Cash 447,TBT,S012,,,
Equity,Parent,Huge448,EQUW51,This is a parent under a parent Vault Cash 448,TBT,S012,,,
Equity,Parent,Huge449,EQUW52,This is a parent under a parent Vault Cash 449,TBT,S012,,,
Equity,Parent,Huge450,EQUW53,This is a parent under a parent Vault Cash 450,TBT,S012,,,
Equity,Parent,Huge451,EQUW54,This is a parent under a parent Vault Cash 451,TBT,S012,,,
Equity,Parent,Huge452,EQUW55,This is a parent under a parent Vault Cash 452,TBT,S012,,,
Equity,Parent,Huge453,EQUW56,This is a parent under a parent Vault Cash 453,TBT,S012,,,
Equity,Parent,Huge454,EQUW57,This is a parent under a parent Vault Cash 454,TBT,S012,,,
Equity,Parent,Huge455,EQUW58,This is a parent under a parent Vault Cash 455,TBT,S012,,,
Equity,Parent,Huge456,EQUW59,This is a parent under a parent Vault Cash 456,TBT,S012,,,
Equity,Parent,Huge457,EQUW60,This is a parent under a parent Vault Cash 457,TBT,S012,,,
Equity,Parent,Huge458,EQUW61,This is a parent under a parent Vault Cash 458,TBT,S012,,,
Equity,Parent,Huge459,EQUW62,This is a parent under a parent Vault Cash 459,TBT,S012,,,
Equity,Parent,Huge460,EQUW63,This is a parent under a parent Vault Cash 460,TBT,S012,,,
Equity,Parent,Huge461,EQUW64,This is a parent under a parent Vault Cash 461,TBT,S012,,,
Equity,Parent,Huge462,EQUW65,This is a parent under a parent Vault Cash 462,TBT,S012,,,
Equity,Parent,Huge463,EQUW66,This is a parent under a parent Vault Cash 463,TBT,S012,,,
Equity,Parent,Huge464,EQUW67,This is a parent under a parent Vault Cash 464,TBT,S012,,,
Equity,Parent,Huge465,EQUW68,This is a parent under a parent Vault Cash 465,TBT,S012,,,
Equity,Parent,Huge466,EQUW69,This is a parent under a parent Vault Cash 466,TBT,S012,,,
Equity,Parent,Huge467,EQUW70,This is a parent under a parent Vault Cash 467,TBT,S012,,,
Equity,Parent,Huge468,EQUW71,This is a parent under a parent Vault Cash 468,TBT,S012,,,
Equity,Parent,Huge469,EQUW72,This is a parent under a parent Vault Cash 469,TBT,S012,,,
Equity,Parent,Huge470,EQUW73,This is a parent under a parent Vault Cash 470,TBT,S012,,,
Equity,Parent,Huge471,EQUW74,This is a parent under a parent Vault Cash 471,TBT,S012,,,
Equity,Parent,Huge472,EQUW75,This is a parent under a parent Vault Cash 472,TBT,S012,,,
Equity,Parent,Huge473,EQUW76,This is a parent under a parent Vault Cash 473,TBT,S012,,,
Equity,Parent,Huge474,EQUW77,This is a parent under a parent Vault Cash 474,TBT,S012,,,
Equity,Parent,Huge475,EQUW78,This is a parent under a parent Vault Cash 475,TBT,S012,,,
Equity,Parent,Huge476,EQUW79,This is a parent under a parent Vault Cash 476,TBT,S012,,,
Equity,Parent,Huge477,EQUW80,This is a parent under a parent Vault Cash 477,TBT,S012,,,
Equity,Parent,Huge478,EQUW81,This is a parent under a parent Vault Cash 478,TBT,S012,,,
Equity,Parent,Huge479,EQUW82,This is a parent under a parent Vault Cash 479,TBT,S012,,,
Equity,Parent,Huge480,EQUW83,This is a parent under a parent Vault Cash 480,TBT,S012,,,
Equity,Parent,Huge481,EQUW84,This is a parent under a parent Vault Cash 481,TBT,S012,,,
Equity,Parent,Huge482,EQUW85,This is a parent under a parent Vault Cash 482,TBT,S012,,,
Equity,Parent,Huge483,EQUW86,This is a parent under a parent Vault Cash 483,TBT,S012,,,
Equity,Parent,Huge484,EQUW87,This is a parent under a parent Vault Cash 484,TBT,S012,,,
Equity,Parent,Huge485,EQUW88,This is a parent under a parent Vault Cash 485,TBT,S012,,,
Equity,Parent,Huge486,EQUW89,This is a parent under a parent Vault Cash 486,TBT,S012,,,
Equity,Parent,Huge487,EQUW90,This is a parent under a parent Vault Cash 487,TBT,S012,,,
Equity,Parent,Huge488,EQUW91,This is a parent under a parent Vault Cash 488,TBT,S012,,,
Equity,Parent,Huge489,EQUW92,This is a parent under a parent Vault Cash 489,TBT,S012,,,
Equity,Parent,Huge490,EQUW93,This is a parent under a parent Vault Cash 490,TBT,S012,,,
Equity,Parent,Huge491,EQUW94,This is a parent under a parent Vault Cash 491,TBT,S012,,,
Equity,Parent,Huge492,EQUW95,This is a parent under a parent Vault Cash 492,TBT,S012,,,
Equity,Parent,Huge493,EQUW96,This is a parent under a parent Vault Cash 493,TBT,S012,,,
Equity,Parent,Huge494,EQUW97,This is a parent under a parent Vault Cash 494,TBT,S012,,,
Equity,Parent,Huge495,EQUW98,This is a parent under a parent Vault Cash 495,TBT,S012,,,
Equity,Parent,Huge496,EQUW99,This is a parent under a parent Vault Cash 496,TBT,S012,,,
Equity,Parent,Huge497,EQUX01,This is a parent under a parent Vault Cash 497,TBT,S012,,,
Equity,Parent,Huge498,EQUX02,This is a parent under a parent Vault Cash 498,TBT,S012,,,
Equity,Parent,Huge499,EQUX03,This is a parent under a parent Vault Cash 499,TBT,S012,,,
Equity,Parent,Huge500,EQUX04,This is a parent under a parent Vault Cash 500,TBT,S012,,,
Equity,Parent,Huge501,EQUX05,This is a parent under a parent Vault Cash 501,TBT,S012,,,
Equity,Parent,Huge502,EQUX06,This is a parent under a parent Vault Cash 502,TBT,S012,,,
Equity,Parent,Huge503,EQUX07,This is a parent under a parent Vault Cash 503,TBT,S012,,,
Equity,Parent,Huge504,EQUX08,This is a parent under a parent Vault Cash 504,TBT,S012,,,
Equity,Parent,Huge505,EQUX09,This is a parent under a parent Vault Cash 505,TBT,S012,,,
Equity,Parent,Huge506,EQUX10,This is a parent under a parent Vault Cash 506,TBT,S012,,,
Equity,Parent,Huge507,EQUX11,This is a parent under a parent Vault Cash 507,TBT,S012,,,
Equity,Parent,Huge508,EQUX12,This is a parent under a parent Vault Cash 508,TBT,S012,,,
Equity,Parent,Huge509,EQUX13,This is a parent under a parent Vault Cash 509,TBT,S012,,,
Equity,Parent,Huge510,EQUX14,This is a parent under a parent Vault Cash 510,TBT,S012,,,
Equity,Parent,Huge511,EQUX15,This is a parent under a parent Vault Cash 511,TBT,S012,,,
Equity,Parent,Huge512,EQUX16,This is a parent under a parent Vault Cash 512,TBT,S012,,,
Equity,Parent,Huge513,EQUX17,This is a parent under a parent Vault Cash 513,TBT,S012,,,
Equity,Parent,Huge514,EQUX18,This is a parent under a parent Vault Cash 514,TBT,S012,,,
Equity,Parent,Huge515,EQUX19,This is a parent under a parent Vault Cash 515,TBT,S012,,,
Equity,Parent,Huge516,EQUX20,This is a parent under a parent Vault Cash 516,TBT,S012,,,
Equity,Parent,Huge517,EQUX21,This is a parent under a parent Vault Cash 517,TBT,S012,,,
Equity,Parent,Huge518,EQUX22,This is a parent under a parent Vault Cash 518,TBT,S012,,,
Equity,Parent,Huge519,EQUX23,This is a parent under a parent Vault Cash 519,TBT,S012,,,
Equity,Parent,Huge520,EQUX24,This is a parent under a parent Vault Cash 520,TBT,S012,,,
Equity,Parent,Huge521,EQUX25,This is a parent under a parent Vault Cash 521,TBT,S012,,,
Equity,Parent,Huge522,EQUX26,This is a parent under a parent Vault Cash 522,TBT,S012,,,
Equity,Parent,Huge523,EQUX27,This is a parent under a parent Vault Cash 523,TBT,S012,,,
Equity,Parent,Huge524,EQUX28,This is a parent under a parent Vault Cash 524,TBT,S012,,,
Equity,Parent,Huge525,EQUX29,This is a parent under a parent Vault Cash 525,TBT,S012,,,
Equity,Parent,Huge526,EQUX30,This is a parent under a parent Vault Cash 526,TBT,S012,,,
Equity,Parent,Huge527,EQUX31,This is a parent under a parent Vault Cash 527,TBT,S012,,,
Equity,Parent,Huge528,EQUX32,This is a parent under a parent Vault Cash 528,TBT,S012,,,
Equity,Parent,Huge529,EQUX33,This is a parent under a parent Vault Cash 529,TBT,S012,,,
Equity,Parent,Huge530,EQUX34,This is a parent under a parent Vault Cash 530,TBT,S012,,,
Equity,Parent,Huge531,EQUX35,This is a parent under a parent Vault Cash 531,TBT,S012,,,
Equity,Parent,Huge532,EQUX36,This is a parent under a parent Vault Cash 532,TBT,S012,,,
Equity,Parent,Huge533,EQUX37,This is a parent under a parent Vault Cash 533,TBT,S012,,,
Equity,Parent,Huge534,EQUX38,This is a parent under a parent Vault Cash 534,TBT,S012,,,
Equity,Parent,Huge535,EQUX39,This is a parent under a parent Vault Cash 535,TBT,S012,,,
Equity,Parent,Huge536,EQUX40,This is a parent under a parent Vault Cash 536,TBT,S012,,,
Equity,Parent,Huge537,EQUX41,This is a parent under a parent Vault Cash 537,TBT,S012,,,
Equity,Parent,Huge538,EQUX42,This is a parent under a parent Vault Cash 538,TBT,S012,,,
Equity,Parent,Huge539,EQUX43,This is a parent under a parent Vault Cash 539,TBT,S012,,,
Equity,Parent,Huge540,EQUX44,This is a parent under a parent Vault Cash 540,TBT,S012,,,
Equity,Parent,Huge541,EQUX45,This is a parent under a parent Vault Cash 541,TBT,S012,,,
Equity,Parent,Huge542,EQUX46,This is a parent under a parent Vault Cash 542,TBT,S012,,,
Equity,Parent,Huge543,EQUX47,This is a parent under a parent Vault Cash 543,TBT,S012,,,
Equity,Parent,Huge544,EQUX48,This is a parent under a parent Vault Cash 544,TBT,S012,,,
Equity,Parent,Huge545,EQUX49,This is a parent under a parent Vault Cash 545,TBT,S012,,,
Equity,Parent,Huge546,EQUX50,This is a parent under a parent Vault Cash 546,TBT,S012,,,
Equity,Parent,Huge547,EQUX51,This is a parent under a parent Vault Cash 547,TBT,S012,,,
Equity,Parent,Huge548,EQUX52,This is a parent under a parent Vault Cash 548,TBT,S012,,,
Equity,Parent,Huge549,EQUX53,This is a parent under a parent Vault Cash 549,TBT,S012,,,
Equity,Parent,Huge550,EQUX54,This is a parent under a parent Vault Cash 550,TBT,S012,,,
Equity,Parent,Huge551,EQUX55,This is a parent under a parent Vault Cash 551,TBT,S012,,,
Equity,Parent,Huge552,EQUX56,This is a parent under a parent Vault Cash 552,TBT,S012,,,
Equity,Parent,Huge553,EQUX57,This is a parent under a parent Vault Cash 553,TBT,S012,,,
Equity,Parent,Huge554,EQUX58,This is a parent under a parent Vault Cash 554,TBT,S012,,,
Equity,Parent,Huge555,EQUX59,This is a parent under a parent Vault Cash 555,TBT,S012,,,
Equity,Parent,Huge556,EQUX60,This is a parent under a parent Vault Cash 556,TBT,S012,,,
Equity,Parent,Huge557,EQUX61,This is a parent under a parent Vault Cash 557,TBT,S012,,,
Equity,Parent,Huge558,EQUX62,This is a parent under a parent Vault Cash 558,TBT,S012,,,
Asset,Parent,yobe Ledger brand,ASTTYW,yobe Ledger,NGN,HQ,,,
Equity,Parent,Huge559,EQUX63,This is a parent under a parent Vault Cash 559,TBT,S012,,,
Equity,Parent,Huge560,EQUX64,This is a parent under a parent Vault Cash 560,TBT,S012,,,
Equity,Parent,Huge561,EQUX65,This is a parent under a parent Vault Cash 561,TBT,S012,,,
Equity,Parent,Huge562,EQUX66,This is a parent under a parent Vault Cash 562,TBT,S012,,,
Equity,Parent,Huge563,EQUX67,This is a parent under a parent Vault Cash 563,TBT,S012,,,
Equity,Parent,Huge564,EQUX68,This is a parent under a parent Vault Cash 564,TBT,S012,,,
Equity,Parent,Huge565,EQUX69,This is a parent under a parent Vault Cash 565,TBT,S012,,,
Equity,Parent,Huge566,EQUX70,This is a parent under a parent Vault Cash 566,TBT,S012,,,
Equity,Parent,Huge567,EQUX71,This is a parent under a parent Vault Cash 567,TBT,S012,,,
Equity,Parent,Huge568,EQUX72,This is a parent under a parent Vault Cash 568,TBT,S012,,,
Equity,Parent,Huge569,EQUX73,This is a parent under a parent Vault Cash 569,TBT,S012,,,
Equity,Parent,Huge570,EQUX74,This is a parent under a parent Vault Cash 570,TBT,S012,,,
Equity,Parent,Huge571,EQUX75,This is a parent under a parent Vault Cash 571,TBT,S012,,,
Equity,Parent,Huge572,EQUX76,This is a parent under a parent Vault Cash 572,TBT,S012,,,
Equity,Parent,Huge573,EQUX77,This is a parent under a parent Vault Cash 573,TBT,S012,,,
Equity,Parent,Huge574,EQUX78,This is a parent under a parent Vault Cash 574,TBT,S012,,,
Equity,Parent,Huge575,EQUX79,This is a parent under a parent Vault Cash 575,TBT,S012,,,
Equity,Parent,Huge576,EQUX80,This is a parent under a parent Vault Cash 576,TBT,S012,,,
Equity,Parent,Huge577,EQUX81,This is a parent under a parent Vault Cash 577,TBT,S012,,,
Equity,Parent,Huge578,EQUX82,This is a parent under a parent Vault Cash 578,TBT,S012,,,
Equity,Parent,Huge579,EQUX83,This is a parent under a parent Vault Cash 579,TBT,S012,,,
Equity,Parent,Huge580,EQUX84,This is a parent under a parent Vault Cash 580,TBT,S012,,,
Equity,Parent,Huge581,EQUX85,This is a parent under a parent Vault Cash 581,TBT,S012,,,
Equity,Parent,Huge582,EQUX86,This is a parent under a parent Vault Cash 582,TBT,S012,,,
Equity,Parent,Huge583,EQUX87,This is a parent under a parent Vault Cash 583,TBT,S012,,,
Equity,Parent,Huge584,EQUX88,This is a parent under a parent Vault Cash 584,TBT,S012,,,
Equity,Parent,Huge585,EQUX89,This is a parent under a parent Vault Cash 585,TBT,S012,,,
Equity,Parent,Huge586,EQUX90,This is a parent under a parent Vault Cash 586,TBT,S012,,,
Equity,Parent,Huge587,EQUX91,This is a parent under a parent Vault Cash 587,TBT,S012,,,
Equity,Parent,Huge588,EQUX92,This is a parent under a parent Vault Cash 588,TBT,S012,,,
Equity,Parent,Huge589,EQUX93,This is a parent under a parent Vault Cash 589,TBT,S012,,,
Equity,Parent,Huge590,EQUX94,This is a parent under a parent Vault Cash 590,TBT,S012,,,
Equity,Parent,Huge591,EQUX95,This is a parent under a parent Vault Cash 591,TBT,S012,,,
Equity,Parent,Huge592,EQUX96,This is a parent under a parent Vault Cash 592,TBT,S012,,,
Equity,Parent,Huge593,EQUX97,This is a parent under a parent Vault Cash 593,TBT,S012,,,
Equity,Parent,Huge594,EQUX98,This is a parent under a parent Vault Cash 594,TBT,S012,,,
Equity,Parent,Huge595,EQUX99,This is a parent under a parent Vault Cash 595,TBT,S012,,,
Equity,Parent,Huge596,EQUZ01,This is a parent under a parent Vault Cash 596,TBT,S012,,,
Equity,Parent,Huge597,EQUZ02,This is a parent under a parent Vault Cash 597,TBT,S012,,,
Equity,Parent,Huge598,EQUZ03,This is a parent under a parent Vault Cash 598,TBT,S012,,,
Equity,Parent,Huge599,EQUZ04,This is a parent under a parent Vault Cash 599,TBT,S012,,,
Equity,Parent,Huge600,EQUZ05,This is a parent under a parent Vault Cash 600,TBT,S012,,,
Equity,Parent,Huge601,EQUZ06,This is a parent under a parent Vault Cash 601,TBT,S012,,,
Equity,Parent,Huge602,EQUZ07,This is a parent under a parent Vault Cash 602,TBT,S012,,,
Equity,Parent,Huge603,EQUZ08,This is a parent under a parent Vault Cash 603,TBT,S012,,,
Equity,Parent,Huge604,EQUZ09,This is a parent under a parent Vault Cash 604,TBT,S012,,,
Equity,Parent,Huge605,EQUZ10,This is a parent under a parent Vault Cash 605,TBT,S012,,,
Equity,Parent,Huge606,EQUZ11,This is a parent under a parent Vault Cash 606,TBT,S012,,,
Equity,Parent,Huge607,EQUZ12,This is a parent under a parent Vault Cash 607,TBT,S012,,,
Equity,Parent,Huge608,EQUZ13,This is a parent under a parent Vault Cash 608,TBT,S012,,,
Equity,Parent,Huge609,EQUZ14,This is a parent under a parent Vault Cash 609,TBT,S012,,,
Equity,Parent,Huge610,EQUZ15,This is a parent under a parent Vault Cash 610,TBT,S012,,,
Equity,Parent,Huge611,EQUZ16,This is a parent under a parent Vault Cash 611,TBT,S012,,,
Equity,Parent,Huge612,EQUZ17,This is a parent under a parent Vault Cash 612,TBT,S012,,,
Equity,Parent,Huge613,EQUZ18,This is a parent under a parent Vault Cash 613,TBT,S012,,,
Equity,Parent,Huge614,EQUZ19,This is a parent under a parent Vault Cash 614,TBT,S012,,,
Equity,Parent,Huge615,EQUZ20,This is a parent under a parent Vault Cash 615,TBT,S012,,,
Equity,Parent,Huge616,EQUZ21,This is a parent under a parent Vault Cash 616,TBT,S012,,,
Equity,Parent,Huge617,EQUZ22,This is a parent under a parent Vault Cash 617,TBT,S012,,,
Equity,Parent,Huge618,EQUZ23,This is a parent under a parent Vault Cash 618,TBT,S012,,,
Equity,Parent,Huge619,EQUZ24,This is a parent under a parent Vault Cash 619,TBT,S012,,,
Equity,Parent,Huge620,EQUZ25,This is a parent under a parent Vault Cash 620,TBT,S012,,,
Equity,Parent,Huge621,EQUZ26,This is a parent under a parent Vault Cash 621,TBT,S012,,,
Equity,Parent,Huge622,EQUZ27,This is a parent under a parent Vault Cash 622,TBT,S012,,,
Equity,Parent,Huge623,EQUZ28,This is a parent under a parent Vault Cash 623,TBT,S012,,,
Equity,Parent,Huge624,EQUZ29,This is a parent under a parent Vault Cash 624,TBT,S012,,,
Equity,Parent,Huge625,EQUZ30,This is a parent under a parent Vault Cash 625,TBT,S012,,,
Equity,Parent,Huge626,EQUZ31,This is a parent under a parent Vault Cash 626,TBT,S012,,,
Equity,Parent,Huge627,EQUZ32,This is a parent under a parent Vault Cash 627,TBT,S012,,,
Equity,Parent,Huge628,EQUZ33,This is a parent under a parent Vault Cash 628,TBT,S012,,,
Equity,Parent,Huge629,EQUZ34,This is a parent under a parent Vault Cash 629,TBT,S012,,,
Equity,Parent,Huge630,EQUZ35,This is a parent under a parent Vault Cash 630,TBT,S012,,,
Equity,Parent,Huge631,EQUZ36,This is a parent under a parent Vault Cash 631,TBT,S012,,,
Equity,Parent,Huge632,EQUZ37,This is a parent under a parent Vault Cash 632,TBT,S012,,,
Equity,Parent,Huge633,EQUZ38,This is a parent under a parent Vault Cash 633,TBT,S012,,,
Equity,Parent,Huge634,EQUZ39,This is a parent under a parent Vault Cash 634,TBT,S012,,,
Equity,Parent,Huge635,EQUZ40,This is a parent under a parent Vault Cash 635,TBT,S012,,,
Equity,Parent,Huge636,EQUZ41,This is a parent under a parent Vault Cash 636,TBT,S012,,,
Equity,Parent,Huge637,EQUZ42,This is a parent under a parent Vault Cash 637,TBT,S012,,,
Equity,Parent,Huge638,EQUZ43,This is a parent under a parent Vault Cash 638,TBT,S012,,,
Equity,Parent,Huge639,EQUZ44,This is a parent under a parent Vault Cash 639,TBT,S012,,,
Equity,Parent,Huge640,EQUZ45,This is a parent under a parent Vault Cash 640,TBT,S012,,,
Equity,Parent,Huge641,EQUZ46,This is a parent under a parent Vault Cash 641,TBT,S012,,,
Equity,Parent,Huge642,EQUZ47,This is a parent under a parent Vault Cash 642,TBT,S012,,,
Equity,Parent,Huge643,EQUZ48,This is a parent under a parent Vault Cash 643,TBT,S012,,,
